route_name,route_start_km,route_end_km,start_km,end_km,method,direction,lane,work_date,year,timestamp,row_type,route_dir1,route_dir2
서산영덕선,0.0,79.42,62.34,62.8,비절삭 덧씌우기,영덕방향,2차로,20220000,2022,2025-11-10 17:42,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,62.34,62.8,절삭 덧씌우기,영덕방향,3차로,20220000,2022,2025-11-10 17:42,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,4.74,5.07,비절삭 덧씌우기,서산방향,1차로,20230000,2023,2025-11-11 9:10,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,4.74,5.07,비절삭 덧씌우기,서산방향,2차로,20230000,2023,2025-11-11 9:10,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,4.74,5.07,비절삭 덧씌우기,서산방향,3차로,20230000,2023,2025-11-11 9:10,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,5.11,6.02,비절삭 덧씌우기,서산방향,1차로,20230000,2023,2025-11-11 9:11,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,5.11,6.02,비절삭 덧씌우기,서산방향,2차로,20230000,2023,2025-11-11 9:11,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,5.11,6.02,비절삭 덧씌우기,서산방향,3차로,20230000,2023,2025-11-11 9:11,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,46.14,47.0,표면개량,서산방향,1차로,20230000,2023,2025-11-11 9:11,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,46.14,47.0,표면개량,서산방향,2차로,20230000,2023,2025-11-11 9:11,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,1.212,1.592,절삭 덧씌우기,영덕방향,1차로,20230000,2023,2025-11-11 9:12,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,1.212,1.592,절삭 덧씌우기,영덕방향,2차로,20230000,2023,2025-11-11 9:12,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,4.03,4.83,비절삭 덧씌우기,영덕방향,1차로,20230000,2023,2025-11-11 9:12,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,4.03,4.83,비절삭 덧씌우기,영덕방향,2차로,20230000,2023,2025-11-11 9:12,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,4.03,4.83,비절삭 덧씌우기,영덕방향,3차로,20230000,2023,2025-11-11 9:12,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,24.428,24.898,표면개량,영덕방향,2차로,20230000,2023,2025-11-11 9:13,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,34.608,36.367,표면개량,영덕방향,1차로,20230000,2023,2025-11-11 9:13,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,34.608,36.367,표면개량,영덕방향,2차로,20230000,2023,2025-11-11 9:13,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,40.8,42.7,표면개량,영덕방향,1차로,20230000,2023,2025-11-11 9:13,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,40.8,42.7,표면개량,영덕방향,2차로,20230000,2023,2025-11-11 9:13,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,7.17,7.895,비절삭 덧씌우기,영덕방향,1차로,20240000,2024,2025-11-11 9:29,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,7.17,7.895,비절삭 덧씌우기,영덕방향,2차로,20240000,2024,2025-11-11 9:29,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,7.17,7.895,비절삭 덧씌우기,영덕방향,3차로,20240000,2024,2025-11-11 9:29,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,23.4,24.0,표면개량,영덕방향,1차로,20240000,2024,2025-11-11 9:30,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,23.4,24.0,표면개량,영덕방향,2차로,20240000,2024,2025-11-11 9:30,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,50.217,50.877,비절삭 덧씌우기,영덕방향,1차로,20240000,2024,2025-11-11 9:30,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,50.217,50.877,비절삭 덧씌우기,영덕방향,2차로,20240000,2024,2025-11-11 9:30,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,50.217,50.877,비절삭 덧씌우기,영덕방향,3차로,20240000,2024,2025-11-11 9:30,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,50.224,50.794,기능성 중간층,서산방향,1차로,20240000,2024,2025-11-11 9:30,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,50.224,50.794,기능성 중간층,서산방향,2차로,20240000,2024,2025-11-11 9:30,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,9.86,10.01,절삭 덧씌우기,서산방향,1차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,9.86,10.01,절삭 덧씌우기,서산방향,2차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,10.282,10.646,절삭 덧씌우기,서산방향,1차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,10.282,10.646,절삭 덧씌우기,서산방향,2차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,50.87,51.27,절삭 덧씌우기,서산방향,2차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,54.193,54.773,절삭 덧씌우기,서산방향,2차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,60.958,61.635,절삭 덧씌우기,서산방향,2차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,64.802,65.212,GUSS,서산방향,1차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
