route,direction,lane,start,end,method,pavement,year
서산영덕선,서산방향,1차로,0.4,0.8,절삭 덧씌우기(10cm),콘크리트JCP,2026
중앙선,춘천방향,1차로,306.02,307.19,절삭 덧씌우기(10cm),콘크리트JCP,2026
중앙선,춘천방향,2차로,273.662,274.2,절삭 덧씌우기(10cm),콘크리트JCP,2026
중앙선,춘천방향,1차로,273.662,274.2,절삭 덧씌우기(10cm),콘크리트JCP,2026
중앙선,부산방향,1차로,280.12,280.61,절삭 덧씌우기(10cm),콘크리트JCP,2026
중부내륙선(상주),양평방향,1차로,151.01,153.87,절삭 덧씌우기(10cm),콘크리트JCP,2026
평택제천선,제천방향,3차로,38.1,38.7,절삭 덧씌우기,콘크리트JCP,2026
